,left_out_strain,hidden_dim,basal_dim,weight_decay_ae,weight_decay_p,weight_decay_c,lr_ae,lr_p,lr_c,lam,batch_size,num_epochs,r2_x,r2_p,acc_c,r2_dp,acc_dc
lso_0015,PhlF_Gate,256,7,9.457530331973818e-07,4.770494316674992e-07,0.0,1.6781618038851487,1.1486722927491462,1.0,0.001742698307115448,128,1000,0.582844427607758,0.4968867552434009,1.0,-2.608658067057043,0.7962962962962963
lso_0015,pTACmin,256,7,9.457530331973818e-07,4.770494316674992e-07,0.0,1.6781618038851487,1.1486722927491462,1.0,0.001742698307115448,128,1000,0.5648579548890603,0.6053702045450274,1.0,-0.9429290715255085,0.9038461538461539
lso_0015,wild-type,256,7,9.457530331973818e-07,4.770494316674992e-07,0.0,1.6781618038851487,1.1486722927491462,1.0,0.001742698307115448,128,1000,0.713569846675167,0.829507041466896,1.0,0.0957650790695345,0.009615384615384616
lso_0015,NAND_Circuit,256,7,9.457530331973818e-07,4.770494316674992e-07,0.0,1.6781618038851487,1.1486722927491462,1.0,0.001742698307115448,128,1000,-48.97279914953519,0.5941755300202746,1.0,-2.089347560193197,0.9626168224299065
lso_0015,pJ2007_PhlF,256,7,9.457530331973818e-07,4.770494316674992e-07,0.0,1.6781618038851487,1.1486722927491462,1.0,0.001742698307115448,128,1000,0.7686010790630536,0.7267595384838818,1.0,-17.545023199695027,0.19811320754716982
lso_0015,IcaR_Gate,256,7,9.457530331973818e-07,4.770494316674992e-07,0.0,1.6781618038851487,1.1486722927491462,1.0,0.001742698307115448,128,1000,-56.05665027448505,-0.0014835352261545198,1.0,-2.90758282991539,0.9090909090909091
lso_0016,pBADmin,512,6,7.692924052289926e-07,5.893622689363971e-07,0.0,1.786226465897776,1.3248017032172317,1.0,0.0017831940376008286,128,1000,0.7501078121830445,0.43924726474842074,1.0,-0.9336284828059305,1.0
lso_0016,pJ2007_IcaR,512,6,7.692924052289926e-07,5.893622689363971e-07,0.0,1.786226465897776,1.3248017032172317,1.0,0.0017831940376008286,128,1000,0.7310393667396685,-5.758890470652907,1.0,-100.72784806945721,0.3577981651376147
lso_0016,landing_pads,512,6,7.692924052289926e-07,5.893622689363971e-07,0.0,1.786226465897776,1.3248017032172317,1.0,0.0017831940376008286,128,1000,0.7744587420786146,0.8794246923928687,1.0,-0.3210651637148525,0.8446601941747572
lso_0016,PhlF_Gate,512,6,7.692924052289926e-07,5.893622689363971e-07,0.0,1.786226465897776,1.3248017032172317,1.0,0.0017831940376008286,128,1000,0.6603873376725543,0.4708866263828579,1.0,-2.3140237558073005,0.9629629629629629
